case_id,query_id,setting,query,gold_page_id,page_id,is_gold_page,image_path,vlm_answer,evidence_description,confidence,notes
q002__Hybrid_Fusion,q002,Hybrid Fusion,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc001_p001,0,results\week8\visual_rag\manual_vlm_pack\images\q002__Hybrid_Fusion.png,,,,
q002__Budgeted_MV,q002,Budgeted MV,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc006_p013,0,results\week8\visual_rag\manual_vlm_pack\images\q002__Budgeted_MV.png,,,,
q002__Gold_Masked,q002,Gold Masked,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc001_p002,1,results\week8\visual_rag\manual_vlm_pack\images\q002__Gold_Masked.png,,,,
q002__Random_Masked,q002,Random Masked,Which page explains the breakaway and bevel requirements with dimensioned diagrams?,doc001_p002,doc001_p002,1,results\week8\visual_rag\manual_vlm_pack\images\q002__Random_Masked.png,,,,
q004__Gold_Evidence,q004,Gold Evidence,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc001_p004,1,results\week8\visual_rag\manual_vlm_pack\images\q004__Gold_Evidence.png,,,,
q004__BM25,q004,BM25,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc001_p004,1,results\week8\visual_rag\manual_vlm_pack\images\q004__BM25.png,,,,
q004__Full_MV,q004,Full MV,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc005_p006,0,results\week8\visual_rag\manual_vlm_pack\images\q004__Full_MV.png,,,,
q004__Hybrid_Fusion,q004,Hybrid Fusion,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc001_p004,1,results\week8\visual_rag\manual_vlm_pack\images\q004__Hybrid_Fusion.png,,,,
q004__Budgeted_MV,q004,Budgeted MV,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc006_p008,0,results\week8\visual_rag\manual_vlm_pack\images\q004__Budgeted_MV.png,,,,
q004__Gold_Masked,q004,Gold Masked,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc001_p004,1,results\week8\visual_rag\manual_vlm_pack\images\q004__Gold_Masked.png,,,,
q004__Random_Masked,q004,Random Masked,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc001_p004,1,results\week8\visual_rag\manual_vlm_pack\images\q004__Random_Masked.png,,,,
q006__Gold_Evidence,q006,Gold Evidence,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc002_p001,1,results\week8\visual_rag\manual_vlm_pack\images\q006__Gold_Evidence.png,,,,
q006__BM25,q006,BM25,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc002_p001,1,results\week8\visual_rag\manual_vlm_pack\images\q006__BM25.png,,,,
q006__Full_MV,q006,Full MV,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc004_p010,0,results\week8\visual_rag\manual_vlm_pack\images\q006__Full_MV.png,,,,
q006__Hybrid_Fusion,q006,Hybrid Fusion,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc002_p001,1,results\week8\visual_rag\manual_vlm_pack\images\q006__Hybrid_Fusion.png,,,,
q006__Budgeted_MV,q006,Budgeted MV,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc006_p013,0,results\week8\visual_rag\manual_vlm_pack\images\q006__Budgeted_MV.png,,,,
q006__Gold_Masked,q006,Gold Masked,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc002_p001,1,results\week8\visual_rag\manual_vlm_pack\images\q006__Gold_Masked.png,,,,
q006__Random_Masked,q006,Random Masked,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc002_p001,1,results\week8\visual_rag\manual_vlm_pack\images\q006__Random_Masked.png,,,,
q007__Gold_Evidence,q007,Gold Evidence,Which page lists the bill of materials together with top and bottom assembly views?,doc002_p001,doc002_p001,1,results\week8\visual_rag\manual_vlm_pack\images\q007__Gold_Evidence.png,,,,
q007__BM25,q007,BM25,Which page lists the bill of materials together with top and bottom assembly views?,doc002_p001,doc006_p019,0,results\week8\visual_rag\manual_vlm_pack\images\q007__BM25.png,,,,
q007__Full_MV,q007,Full MV,Which page lists the bill of materials together with top and bottom assembly views?,doc002_p001,doc006_p013,0,results\week8\visual_rag\manual_vlm_pack\images\q007__Full_MV.png,,,,
q007__Hybrid_Fusion,q007,Hybrid Fusion,Which page lists the bill of materials together with top and bottom assembly views?,doc002_p001,doc006_p019,0,results\week8\visual_rag\manual_vlm_pack\images\q007__Hybrid_Fusion.png,,,,
q007__Budgeted_MV,q007,Budgeted MV,Which page lists the bill of materials together with top and bottom assembly views?,doc002_p001,doc004_p019,0,results\week8\visual_rag\manual_vlm_pack\images\q007__Budgeted_MV.png,,,,
q007__Gold_Masked,q007,Gold Masked,Which page lists the bill of materials together with top and bottom assembly views?,doc002_p001,doc002_p001,1,results\week8\visual_rag\manual_vlm_pack\images\q007__Gold_Masked.png,,,,
q007__Random_Masked,q007,Random Masked,Which page lists the bill of materials together with top and bottom assembly views?,doc002_p001,doc002_p001,1,results\week8\visual_rag\manual_vlm_pack\images\q007__Random_Masked.png,,,,
q008__Gold_Evidence,q008,Gold Evidence,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,doc003_p007,doc003_p007,1,results\week8\visual_rag\manual_vlm_pack\images\q008__Gold_Evidence.png,,,,
q008__BM25,q008,BM25,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,doc003_p007,doc003_p007,1,results\week8\visual_rag\manual_vlm_pack\images\q008__BM25.png,,,,
q008__Full_MV,q008,Full MV,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,doc003_p007,doc003_p012,0,results\week8\visual_rag\manual_vlm_pack\images\q008__Full_MV.png,,,,
q008__Hybrid_Fusion,q008,Hybrid Fusion,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,doc003_p007,doc003_p007,1,results\week8\visual_rag\manual_vlm_pack\images\q008__Hybrid_Fusion.png,,,,
q008__Budgeted_MV,q008,Budgeted MV,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,doc003_p007,doc003_p007,1,results\week8\visual_rag\manual_vlm_pack\images\q008__Budgeted_MV.png,,,,
q008__Gold_Masked,q008,Gold Masked,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,doc003_p007,doc003_p007,1,results\week8\visual_rag\manual_vlm_pack\images\q008__Gold_Masked.png,,,,
q008__Random_Masked,q008,Random Masked,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,doc003_p007,doc003_p007,1,results\week8\visual_rag\manual_vlm_pack\images\q008__Random_Masked.png,,,,
q009__Gold_Evidence,q009,Gold Evidence,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,doc003_p008,doc003_p008,1,results\week8\visual_rag\manual_vlm_pack\images\q009__Gold_Evidence.png,,,,
q009__BM25,q009,BM25,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,doc003_p008,doc003_p008,1,results\week8\visual_rag\manual_vlm_pack\images\q009__BM25.png,,,,
q009__Full_MV,q009,Full MV,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,doc003_p008,doc003_p022,0,results\week8\visual_rag\manual_vlm_pack\images\q009__Full_MV.png,,,,
q009__Hybrid_Fusion,q009,Hybrid Fusion,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,doc003_p008,doc003_p008,1,results\week8\visual_rag\manual_vlm_pack\images\q009__Hybrid_Fusion.png,,,,
q009__Budgeted_MV,q009,Budgeted MV,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,doc003_p008,doc003_p007,0,results\week8\visual_rag\manual_vlm_pack\images\q009__Budgeted_MV.png,,,,
q009__Gold_Masked,q009,Gold Masked,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,doc003_p008,doc003_p008,1,results\week8\visual_rag\manual_vlm_pack\images\q009__Gold_Masked.png,,,,
q009__Random_Masked,q009,Random Masked,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,doc003_p008,doc003_p008,1,results\week8\visual_rag\manual_vlm_pack\images\q009__Random_Masked.png,,,,
q010__Gold_Evidence,q010,Gold Evidence,Which page shows the PCB layer stack with board cross section and stack dimensions?,doc003_p009,doc003_p009,1,results\week8\visual_rag\manual_vlm_pack\images\q010__Gold_Evidence.png,,,,
q010__BM25,q010,BM25,Which page shows the PCB layer stack with board cross section and stack dimensions?,doc003_p009,doc006_p019,0,results\week8\visual_rag\manual_vlm_pack\images\q010__BM25.png,,,,
q010__Full_MV,q010,Full MV,Which page shows the PCB layer stack with board cross section and stack dimensions?,doc003_p009,doc004_p016,0,results\week8\visual_rag\manual_vlm_pack\images\q010__Full_MV.png,,,,
q010__Hybrid_Fusion,q010,Hybrid Fusion,Which page shows the PCB layer stack with board cross section and stack dimensions?,doc003_p009,doc006_p019,0,results\week8\visual_rag\manual_vlm_pack\images\q010__Hybrid_Fusion.png,,,,
q010__Budgeted_MV,q010,Budgeted MV,Which page shows the PCB layer stack with board cross section and stack dimensions?,doc003_p009,doc004_p010,0,results\week8\visual_rag\manual_vlm_pack\images\q010__Budgeted_MV.png,,,,
q010__Gold_Masked,q010,Gold Masked,Which page shows the PCB layer stack with board cross section and stack dimensions?,doc003_p009,doc003_p009,1,results\week8\visual_rag\manual_vlm_pack\images\q010__Gold_Masked.png,,,,
q010__Random_Masked,q010,Random Masked,Which page shows the PCB layer stack with board cross section and stack dimensions?,doc003_p009,doc003_p009,1,results\week8\visual_rag\manual_vlm_pack\images\q010__Random_Masked.png,,,,
q011__Gold_Evidence,q011,Gold Evidence,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,doc003_p010,doc003_p010,1,results\week8\visual_rag\manual_vlm_pack\images\q011__Gold_Evidence.png,,,,
q011__BM25,q011,BM25,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,doc003_p010,doc003_p029,0,results\week8\visual_rag\manual_vlm_pack\images\q011__BM25.png,,,,
q011__Full_MV,q011,Full MV,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,doc003_p010,doc003_p012,0,results\week8\visual_rag\manual_vlm_pack\images\q011__Full_MV.png,,,,
q011__Hybrid_Fusion,q011,Hybrid Fusion,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,doc003_p010,doc003_p029,0,results\week8\visual_rag\manual_vlm_pack\images\q011__Hybrid_Fusion.png,,,,
q011__Budgeted_MV,q011,Budgeted MV,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,doc003_p010,doc005_p004,0,results\week8\visual_rag\manual_vlm_pack\images\q011__Budgeted_MV.png,,,,
q011__Gold_Masked,q011,Gold Masked,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,doc003_p010,doc003_p010,1,results\week8\visual_rag\manual_vlm_pack\images\q011__Gold_Masked.png,,,,
q011__Random_Masked,q011,Random Masked,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,doc003_p010,doc003_p010,1,results\week8\visual_rag\manual_vlm_pack\images\q011__Random_Masked.png,,,,
q012__Gold_Evidence,q012,Gold Evidence,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,doc003_p011,doc003_p011,1,results\week8\visual_rag\manual_vlm_pack\images\q012__Gold_Evidence.png,,,,
q012__BM25,q012,BM25,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,doc003_p011,doc003_p029,0,results\week8\visual_rag\manual_vlm_pack\images\q012__BM25.png,,,,
q012__Full_MV,q012,Full MV,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,doc003_p011,doc005_p004,0,results\week8\visual_rag\manual_vlm_pack\images\q012__Full_MV.png,,,,
q012__Hybrid_Fusion,q012,Hybrid Fusion,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,doc003_p011,doc003_p029,0,results\week8\visual_rag\manual_vlm_pack\images\q012__Hybrid_Fusion.png,,,,
q012__Budgeted_MV,q012,Budgeted MV,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,doc003_p011,doc005_p004,0,results\week8\visual_rag\manual_vlm_pack\images\q012__Budgeted_MV.png,,,,
q012__Gold_Masked,q012,Gold Masked,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,doc003_p011,doc003_p011,1,results\week8\visual_rag\manual_vlm_pack\images\q012__Gold_Masked.png,,,,
q012__Random_Masked,q012,Random Masked,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,doc003_p011,doc003_p011,1,results\week8\visual_rag\manual_vlm_pack\images\q012__Random_Masked.png,,,,
