case_id,query_id,setting,query,gold_page_id,page_id,rank,retrieval_score,is_gold_page,image_path,case_prompt_file
q004__Budgeted_MV,q004,Budgeted MV,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc006_p008,1,0.5818215,0,results\week8\visual_rag\manual_vlm_pack\images\q004__Budgeted_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q004__Budgeted_MV.md
q004__Gold_Masked,q004,Gold Masked,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc001_p004,,,1,results\week8\visual_rag\manual_vlm_pack\images\q004__Gold_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q004__Gold_Masked.md
q004__Random_Masked,q004,Random Masked,Which page contains the drill table and stackup legend for the fabrication package?,doc001_p004,doc001_p004,,,1,results\week8\visual_rag\manual_vlm_pack\images\q004__Random_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q004__Random_Masked.md
q006__Gold_Evidence,q006,Gold Evidence,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc002_p001,,,1,results\week8\visual_rag\manual_vlm_pack\images\q006__Gold_Evidence.png,results\week8\visual_rag\manual_vlm_pack\cases\q006__Gold_Evidence.md
q006__BM25,q006,BM25,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc002_p001,1,1.0,1,results\week8\visual_rag\manual_vlm_pack\images\q006__BM25.png,results\week8\visual_rag\manual_vlm_pack\cases\q006__BM25.md
q006__Full_MV,q006,Full MV,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc004_p010,1,0.42580336,0,results\week8\visual_rag\manual_vlm_pack\images\q006__Full_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q006__Full_MV.md
q006__Hybrid_Fusion,q006,Hybrid Fusion,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc002_p001,1,1.0,1,results\week8\visual_rag\manual_vlm_pack\images\q006__Hybrid_Fusion.png,results\week8\visual_rag\manual_vlm_pack\cases\q006__Hybrid_Fusion.md
q006__Budgeted_MV,q006,Budgeted MV,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc006_p013,1,0.360798,0,results\week8\visual_rag\manual_vlm_pack\images\q006__Budgeted_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q006__Budgeted_MV.md
q006__Gold_Masked,q006,Gold Masked,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc002_p001,,,1,results\week8\visual_rag\manual_vlm_pack\images\q006__Gold_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q006__Gold_Masked.md
q006__Random_Masked,q006,Random Masked,"Which page combines the assembly drawing, BOM table, and component callouts in a single view?",doc002_p001,doc002_p001,,,1,results\week8\visual_rag\manual_vlm_pack\images\q006__Random_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q006__Random_Masked.md
q007__Gold_Evidence,q007,Gold Evidence,Which page lists the bill of materials together with top and bottom assembly views?,doc002_p001,doc002_p001,,,1,results\week8\visual_rag\manual_vlm_pack\images\q007__Gold_Evidence.png,results\week8\visual_rag\manual_vlm_pack\cases\q007__Gold_Evidence.md
q007__BM25,q007,BM25,Which page lists the bill of materials together with top and bottom assembly views?,doc002_p001,doc006_p019,1,1.0,0,results\week8\visual_rag\manual_vlm_pack\images\q007__BM25.png,results\week8\visual_rag\manual_vlm_pack\cases\q007__BM25.md
q007__Full_MV,q007,Full MV,Which page lists the bill of materials together with top and bottom assembly views?,doc002_p001,doc006_p013,1,0.36529362,0,results\week8\visual_rag\manual_vlm_pack\images\q007__Full_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q007__Full_MV.md
q007__Hybrid_Fusion,q007,Hybrid Fusion,Which page lists the bill of materials together with top and bottom assembly views?,doc002_p001,doc006_p019,1,1.0,0,results\week8\visual_rag\manual_vlm_pack\images\q007__Hybrid_Fusion.png,results\week8\visual_rag\manual_vlm_pack\cases\q007__Hybrid_Fusion.md
q007__Budgeted_MV,q007,Budgeted MV,Which page lists the bill of materials together with top and bottom assembly views?,doc002_p001,doc004_p019,1,0.35800615,0,results\week8\visual_rag\manual_vlm_pack\images\q007__Budgeted_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q007__Budgeted_MV.md
q007__Gold_Masked,q007,Gold Masked,Which page lists the bill of materials together with top and bottom assembly views?,doc002_p001,doc002_p001,,,1,results\week8\visual_rag\manual_vlm_pack\images\q007__Gold_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q007__Gold_Masked.md
q007__Random_Masked,q007,Random Masked,Which page lists the bill of materials together with top and bottom assembly views?,doc002_p001,doc002_p001,,,1,results\week8\visual_rag\manual_vlm_pack\images\q007__Random_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q007__Random_Masked.md
q008__Gold_Evidence,q008,Gold Evidence,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,doc003_p007,doc003_p007,,,1,results\week8\visual_rag\manual_vlm_pack\images\q008__Gold_Evidence.png,results\week8\visual_rag\manual_vlm_pack\cases\q008__Gold_Evidence.md
q008__BM25,q008,BM25,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,doc003_p007,doc003_p007,1,1.0,1,results\week8\visual_rag\manual_vlm_pack\images\q008__BM25.png,results\week8\visual_rag\manual_vlm_pack\cases\q008__BM25.md
q008__Full_MV,q008,Full MV,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,doc003_p007,doc003_p012,1,1.08390713,0,results\week8\visual_rag\manual_vlm_pack\images\q008__Full_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q008__Full_MV.md
q008__Hybrid_Fusion,q008,Hybrid Fusion,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,doc003_p007,doc003_p007,1,1.0,1,results\week8\visual_rag\manual_vlm_pack\images\q008__Hybrid_Fusion.png,results\week8\visual_rag\manual_vlm_pack\cases\q008__Hybrid_Fusion.md
q008__Budgeted_MV,q008,Budgeted MV,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,doc003_p007,doc003_p007,1,0.55040222,1,results\week8\visual_rag\manual_vlm_pack\images\q008__Budgeted_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q008__Budgeted_MV.md
q008__Gold_Masked,q008,Gold Masked,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,doc003_p007,doc003_p007,,,1,results\week8\visual_rag\manual_vlm_pack\images\q008__Gold_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q008__Gold_Masked.md
q008__Random_Masked,q008,Random Masked,Which page shows the basic grounded emitter amplifier schematic with labeled matching network elements?,doc003_p007,doc003_p007,,,1,results\week8\visual_rag\manual_vlm_pack\images\q008__Random_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q008__Random_Masked.md
q009__Gold_Evidence,q009,Gold Evidence,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,doc003_p008,doc003_p008,,,1,results\week8\visual_rag\manual_vlm_pack\images\q009__Gold_Evidence.png,results\week8\visual_rag\manual_vlm_pack\cases\q009__Gold_Evidence.md
q009__BM25,q009,BM25,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,doc003_p008,doc003_p008,1,1.0,1,results\week8\visual_rag\manual_vlm_pack\images\q009__BM25.png,results\week8\visual_rag\manual_vlm_pack\cases\q009__BM25.md
q009__Full_MV,q009,Full MV,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,doc003_p008,doc003_p022,1,0.69894534,0,results\week8\visual_rag\manual_vlm_pack\images\q009__Full_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q009__Full_MV.md
q009__Hybrid_Fusion,q009,Hybrid Fusion,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,doc003_p008,doc003_p008,1,1.0,1,results\week8\visual_rag\manual_vlm_pack\images\q009__Hybrid_Fusion.png,results\week8\visual_rag\manual_vlm_pack\cases\q009__Hybrid_Fusion.md
q009__Budgeted_MV,q009,Budgeted MV,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,doc003_p008,doc003_p007,1,0.62110317,0,results\week8\visual_rag\manual_vlm_pack\images\q009__Budgeted_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q009__Budgeted_MV.md
q009__Gold_Masked,q009,Gold Masked,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,doc003_p008,doc003_p008,,,1,results\week8\visual_rag\manual_vlm_pack\images\q009__Gold_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q009__Gold_Masked.md
q009__Random_Masked,q009,Random Masked,Which page shows the basic emitter degeneration amplifier schematic with labeled matching network elements?,doc003_p008,doc003_p008,,,1,results\week8\visual_rag\manual_vlm_pack\images\q009__Random_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q009__Random_Masked.md
q010__Gold_Evidence,q010,Gold Evidence,Which page shows the PCB layer stack with board cross section and stack dimensions?,doc003_p009,doc003_p009,,,1,results\week8\visual_rag\manual_vlm_pack\images\q010__Gold_Evidence.png,results\week8\visual_rag\manual_vlm_pack\cases\q010__Gold_Evidence.md
q010__BM25,q010,BM25,Which page shows the PCB layer stack with board cross section and stack dimensions?,doc003_p009,doc006_p019,1,1.0,0,results\week8\visual_rag\manual_vlm_pack\images\q010__BM25.png,results\week8\visual_rag\manual_vlm_pack\cases\q010__BM25.md
q010__Full_MV,q010,Full MV,Which page shows the PCB layer stack with board cross section and stack dimensions?,doc003_p009,doc004_p016,1,0.59570181,0,results\week8\visual_rag\manual_vlm_pack\images\q010__Full_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q010__Full_MV.md
q010__Hybrid_Fusion,q010,Hybrid Fusion,Which page shows the PCB layer stack with board cross section and stack dimensions?,doc003_p009,doc006_p019,1,1.0,0,results\week8\visual_rag\manual_vlm_pack\images\q010__Hybrid_Fusion.png,results\week8\visual_rag\manual_vlm_pack\cases\q010__Hybrid_Fusion.md
q010__Budgeted_MV,q010,Budgeted MV,Which page shows the PCB layer stack with board cross section and stack dimensions?,doc003_p009,doc004_p010,1,0.59085399,0,results\week8\visual_rag\manual_vlm_pack\images\q010__Budgeted_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q010__Budgeted_MV.md
q010__Gold_Masked,q010,Gold Masked,Which page shows the PCB layer stack with board cross section and stack dimensions?,doc003_p009,doc003_p009,,,1,results\week8\visual_rag\manual_vlm_pack\images\q010__Gold_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q010__Gold_Masked.md
q010__Random_Masked,q010,Random Masked,Which page shows the PCB layer stack with board cross section and stack dimensions?,doc003_p009,doc003_p009,,,1,results\week8\visual_rag\manual_vlm_pack\images\q010__Random_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q010__Random_Masked.md
q011__Gold_Evidence,q011,Gold Evidence,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,doc003_p010,doc003_p010,,,1,results\week8\visual_rag\manual_vlm_pack\images\q011__Gold_Evidence.png,results\week8\visual_rag\manual_vlm_pack\cases\q011__Gold_Evidence.md
q011__BM25,q011,BM25,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,doc003_p010,doc003_p029,1,1.0,0,results\week8\visual_rag\manual_vlm_pack\images\q011__BM25.png,results\week8\visual_rag\manual_vlm_pack\cases\q011__BM25.md
q011__Full_MV,q011,Full MV,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,doc003_p010,doc003_p012,1,1.33726823,0,results\week8\visual_rag\manual_vlm_pack\images\q011__Full_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q011__Full_MV.md
q011__Hybrid_Fusion,q011,Hybrid Fusion,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,doc003_p010,doc003_p029,1,1.0,0,results\week8\visual_rag\manual_vlm_pack\images\q011__Hybrid_Fusion.png,results\week8\visual_rag\manual_vlm_pack\cases\q011__Hybrid_Fusion.md
q011__Budgeted_MV,q011,Budgeted MV,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,doc003_p010,doc005_p004,1,0.78521419,0,results\week8\visual_rag\manual_vlm_pack\images\q011__Budgeted_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q011__Budgeted_MV.md
q011__Gold_Masked,q011,Gold Masked,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,doc003_p010,doc003_p010,,,1,results\week8\visual_rag\manual_vlm_pack\images\q011__Gold_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q011__Gold_Masked.md
q011__Random_Masked,q011,Random Masked,Which page contains the populated board and zoomed assembly view for the SOT323 grounded emitter variant?,doc003_p010,doc003_p010,,,1,results\week8\visual_rag\manual_vlm_pack\images\q011__Random_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q011__Random_Masked.md
q012__Gold_Evidence,q012,Gold Evidence,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,doc003_p011,doc003_p011,,,1,results\week8\visual_rag\manual_vlm_pack\images\q012__Gold_Evidence.png,results\week8\visual_rag\manual_vlm_pack\cases\q012__Gold_Evidence.md
q012__BM25,q012,BM25,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,doc003_p011,doc003_p029,1,1.0,0,results\week8\visual_rag\manual_vlm_pack\images\q012__BM25.png,results\week8\visual_rag\manual_vlm_pack\cases\q012__BM25.md
q012__Full_MV,q012,Full MV,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,doc003_p011,doc005_p004,1,0.80202037,0,results\week8\visual_rag\manual_vlm_pack\images\q012__Full_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q012__Full_MV.md
q012__Hybrid_Fusion,q012,Hybrid Fusion,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,doc003_p011,doc003_p029,1,1.0,0,results\week8\visual_rag\manual_vlm_pack\images\q012__Hybrid_Fusion.png,results\week8\visual_rag\manual_vlm_pack\cases\q012__Hybrid_Fusion.md
q012__Budgeted_MV,q012,Budgeted MV,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,doc003_p011,doc005_p004,1,0.73604608,0,results\week8\visual_rag\manual_vlm_pack\images\q012__Budgeted_MV.png,results\week8\visual_rag\manual_vlm_pack\cases\q012__Budgeted_MV.md
q012__Gold_Masked,q012,Gold Masked,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,doc003_p011,doc003_p011,,,1,results\week8\visual_rag\manual_vlm_pack\images\q012__Gold_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q012__Gold_Masked.md
q012__Random_Masked,q012,Random Masked,Which page contains the populated board and zoomed assembly view for the SOT323 emitter degeneration variant?,doc003_p011,doc003_p011,,,1,results\week8\visual_rag\manual_vlm_pack\images\q012__Random_Masked.png,results\week8\visual_rag\manual_vlm_pack\cases\q012__Random_Masked.md
